"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","T1_ad_choice_1yes","T5_ad_choice_1yes"
"59",198,"Alejandro-2017-07-11-11-16","adult",35.04,-0.0614831838188645,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"60",199,"Andrew-2017-07-29-10-44","adult",42.15,0.425393197830283,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"61",200,"Andrew-2017-07-29-12-25","adult",45.06,0.62466327808331,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,1
"62",212,"Suheyla-2017-06-19-10-57","adult",46.5,0.723271152847694,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"63",213,"Iris-2017-06-19-09-36","adult",42.27,0.433610520727315,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"64",261,"Suheyla-2017-06-23-17-33","adult",66.42,2.08734675375501,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"65",262,"Suheyla-2017-06-23-18-31","adult",68.04,2.19828061286494,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"66",263,"Suheyla-2017-06-23-18-57","adult",68.9,2.25717142696034,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,0
"67",264,"Suheyla-2017-06-23-19-38","adult",44.49,0.585630994322408,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"68",265,"Suheyla-2017-06-23-20-06","adult",56.68,1.42037404527924,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"69",266,"Suheyla-2017-06-23-20-37","adult",63.78,1.90656565002031,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"70",267,"Suheyla-2017-06-23-21-12","adult",49.57,0.933497663630097,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"71",268,"Suheyla-2017-06-23-21-38","adult",21.45,-0.992095001907741,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"72",275,"Suheyla-2017-06-26-19-03","adult",20.7,-1.04345327001419,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
