"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_ad_choice_1yes"
"73",275,"Suheyla-2017-06-26-19-03","adult",20.7,-1.03223943581507,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"74",291,"Suheyla-2017-06-27-14-33","adult",38.38,0.185674942431044,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"75",292,"Suheyla-2017-06-27-15-02","adult",51.89,1.11633236607952,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"76",293,"Suheyla-2017-06-28-12-54","adult",37.02,0.0919892210274969,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"77",294,"Suheyla-2017-06-28-15-34","adult",36.06,0.0258581235661694,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"78",295,"Iris-2017-06-23-17-46","adult",68.75,2.27775976524408,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"79",296,"Iris-2017-06-23-19-09","adult",48.62,0.891073315351869,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"80",297,"Iris-2017-06-23-20-10","adult",51.66,1.10048845731274,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"81",307,"Iris-2017-06-28-15-38","adult",36.01,0.0224137955733917,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"82",357,"Iris-2017-07-04-20-48","adult",54.04,1.26443846976895,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"83",363,"Suheyla-2017-07-04-20-50","adult",59.93,1.67018030731813,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"84",364,"Suheyla-2017-07-04-21-50","adult",23.58,-0.833846143431087,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"85",372,"Iris-2017-06-23-18-40","adult",66.36,2.11312088718932,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"86",373,"Iris-2017-06-23-19-49","adult",73.85,2.62908122050738,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"87",374,"Iris-2017-06-23-21-08","adult",56.11,1.40703364866993,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"88",375,"Iris-2017-06-26-18-58","adult",21.04,-1.00881800546418,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"89",376,"Iris-2017-06-26-20-40","adult",21.18,-0.999173887084406,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
