"","X","SUBJECT_ID","AGE_in_years","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"61",324,"Suheyla-2017-06-29-13-01",12.47,1.20576790228684,1.45387623418522,1.75303729707821,0,4,"pune",0,0,0,1,0,0,0,0,0
"62",327,"Suheyla-2017-06-29-14-18",12.66,1.27677929918034,1.63016537881545,2.08136140991205,1,4,"pune",0,0,0,1,0,0,0,0,1
"63",328,"Suheyla-2017-07-03-09-34",12.38,1.17213092481098,1.37389090489824,1.61038001694776,1,4,"pune",0,0,0,1,0,0,0,0,1
"64",331,"Suheyla-2017-07-03-10-59",13.34,1.53092535122023,2.3437324310088,3.5880793951084,0,4,"pune",0,0,0,1,0,0,0,0,0
"65",336,"Iris-2017-06-23-10-29",6.72,-0.94326121422694,0.889741718264882,-0.839258853518896,0,4,"pune",0,0,0,1,0,0,0,0,0
"66",338,"Iris-2017-06-27-13-30",9.28,0.0135239228644143,0.000182896489642627,2.47347801809903e-06,0,4,"pune",0,0,0,1,0,0,0,0,1
"67",343,"Iris-2017-07-03-10-37",13.35,1.534662793162,2.35518988871578,3.61442229304346,1,4,"pune",0,0,0,1,0,0,0,0,0
"68",348,"Iris-2017-07-04-10-59",13.21,1.48233860597731,2.19732774277077,3.2571837430941,0,4,"pune",0,0,0,1,0,0,0,0,0
"69",350,"Suheyla-2017-06-29-09-44",11.3,0.768487195100562,0.590572569033529,0.453847457079909,1,4,"pune",0,0,0,1,0,0,0,0,1
"70",352,"Suheyla-2017-06-29-10-53",11.99,1.02637068908222,1.0534367914071,1.08121664550107,0,4,"pune",0,0,0,1,0,0,0,0,0
"71",355,"Iris-2017-07-04-11-57",13.57,1.61688651588079,2.61432200523711,4.2270619984383,1,4,"pune",0,0,0,1,0,0,0,0,0
"72",358,"Suheyla-2017-07-04-12-13",13.3,1.51597558345318,2.29818196962622,3.48398775228569,1,4,"pune",0,0,0,1,0,0,0,0,0
"73",362,"Suheyla-2017-07-04-10-08",7.7,-0.576991903934156,0.332919657205562,-0.192091946868144,0,4,"pune",0,0,0,1,0,0,0,0,0
"74",369,"Iris-2017-06-28-10-08",10.26,0.379793233157199,0.144242899951998,0.0547824773327397,1,4,"pune",0,0,0,1,0,0,0,0,0
"75",370,"Iris-2017-06-20-11-07",7.09,-0.804975862381705,0.64798613901717,-0.521613201066738,1,4,"pune",0,0,0,1,0,0,0,0,1
"76",371,"Iris-2017-06-21-15-07",6.86,-0.890937027042257,0.793768786154895,-0.707198002495782,0,4,"pune",0,0,0,1,0,0,0,0,1
"77",379,"Iris-2017-06-29-10-44",11.88,0.985258827722822,0.970734957605749,0.956425186360203,1,4,"pune",0,0,0,1,0,0,0,0,0
"78",385,"Jahnavi-2017-06-22-11-50",5.09,-1.55246425073433,2.41014524980809,-3.74166433940422,0,4,"pune",0,0,0,1,0,0,0,0,1
"79",387,"Jahnavi-2017-06-23-09-02",4.95,-1.60478843791901,2.57534593047853,-4.13288537287372,1,4,"pune",0,0,0,1,0,0,0,0,1
"80",388,"Jahnavi-2017-06-23-09-38",5.1,-1.54872680879256,2.3985547282728,-3.71470601003224,1,4,"pune",0,0,0,1,0,0,0,0,1
"81",390,"Jahnavi-2017-06-27-10-58",5.49,-1.4029665730638,1.96831520513439,-2.76148043805677,0,4,"pune",0,0,0,1,0,0,0,0,0
"82",392,"Jahnavi-2017-06-29-09-19",5.39,-1.44034099248143,2.0745821746224,-2.98810574837992,1,4,"pune",0,0,0,1,0,0,0,0,1
"83",396,"Jahnavi-2017-06-30-10-24",4.97,-1.59731355403548,2.55141058990547,-4.07540271716567,0,4,"pune",0,0,0,1,0,0,0,0,0
