"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"116",672,"Carla-2017-06-22-11-16",12.78,0,0,1,1.58000579906004,2.49641832506334,3.94435543047983,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"117",673,"Carla-2017-06-22-11-35",12.12,0,0,1,1.32011351990777,1.74269970544329,2.30056144229497,1,6,"wiichi",0,0,0,0,0,1,0,0,0
"118",674,"Carla-2017-06-22-12-01",13.01,0,0,1,1.6705743205828,2.79081856059067,4.66226982072861,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"119",675,"Carla-2017-06-22-12-23",12.23,0,0,1,1.36342889976648,1.85893836471844,2.53453028934177,0,6,"wiichi",0,0,0,0,0,1,0,0,0
"120",686,"Noe-2017-06-27-14-11",11.14,0,0,1,0.934212862984712,0.872753673366092,0.815337707875761,0,2,"laplata",0,1,0,0,0,0,0,0,1
"121",688,"Noe-2017-06-27-15-03",6.73,0,0,1,-0.802340093169058,0.643749625106533,-0.516506134185522,1,2,"laplata",0,1,0,0,0,0,0,0,0
"122",689,"Noe-2017-06-27-15-35",9.53,0,0,1,0.300233212325399,0.0901399817832278,0.0270630162897314,1,2,"laplata",0,1,0,0,0,0,0,0,0
"123",732,"Noe-2017-07-12-13-44",12.28,0,0,1,1.38311770879317,1.91301459637727,2.64592436542921,1,2,"laplata",0,1,0,0,0,0,0,0,1
"124",733,"Noe-2017-07-12-14-17",12.17,0,0,1,1.33980232893446,1.7950702806182,2.40503934257329,0,2,"laplata",0,1,0,0,0,0,0,0,1
"125",734,"Noe-2017-07-12-14-48",12.24,0,0,1,1.36736666157182,1.86969158717806,2.55655394372859,1,2,"laplata",0,1,0,0,0,0,0,0,1
"126",735,"Noe-2017-07-12-15-07",12.56,0,0,1,1.49337503934262,2.23016900813156,3.33047873025914,0,2,"laplata",0,1,0,0,0,0,0,0,1
"127",741,"Noe-2017-08-01-14-23",8.58,0,0,1,-0.0738541591816492,0.00545443682842838,-0.000402832845772999,0,2,"laplata",0,1,0,0,0,0,0,0,0
"128",742,"Noe-2017-08-01-14-45",8.15,0,0,1,-0.243177916811155,0.059135499224613,-0.0143804475110291,1,2,"laplata",0,1,0,0,0,0,0,0,0
"129",744,"Noe-2017-08-02-13-42",12.9,0,0,1,1.62725894072408,2.64797166016647,4.30893555878989,0,2,"laplata",0,1,0,0,0,0,0,0,1
"130",745,"Noe-2017-08-02-14-00",12.62,0,0,1,1.51700161017464,2.30129388527245,3.49106652944335,1,2,"laplata",0,1,0,0,0,0,0,0,1
"131",746,"Noe-2017-08-02-14-30",12.9,0,0,1,1.62725894072408,2.64797166016647,4.30893555878989,0,2,"laplata",0,1,0,0,0,0,0,0,0
"132",747,"Noe-2017-08-02-14-48",13.01,0,0,1,1.6705743205828,2.79081856059067,4.66226982072861,1,2,"laplata",0,1,0,0,0,0,0,0,0
"133",753,"Noe-2017-08-08-13-43",8.91,0,0,1,0.0560919803944833,0.0031463102645751,0.000176482773675508,0,2,"laplata",0,1,0,0,0,0,0,0,0
"134",754,"Noe-2017-08-08-14-19",8.91,0,0,1,0.0560919803944833,0.0031463102645751,0.000176482773675508,0,2,"laplata",0,1,0,0,0,0,0,0,0
